,Course Code,Course Title,Description,Curriculum Category
0,CSP2110,Forest Ecology and Management,"This training will provide biologists and land managers with basic forest ecology and management knowledge and skills in order to better applythem in various decision-making situations, including habitat conservation, forest planning and Service guidance. That skill set includes improvedcommunication with professional foresters, private landowners, federal agency partners, and forest researchers. The course will provide a greaterunderstanding of how silviculture can be used to achieve a range of conservation objectives, including habitat management and ecosystemrestoration.OBJECTIVES:Define common forest ecology and forestry terms, applying correct terminology when engaging with professional foresters, privatelandowners, federal agency partners and forest researchers.Describe important abiotic and biotic factors that influence the establishment and development of forests, and be able to evaluate andpredict vegetation response to various disturbancesDistinguish between common silvicultural systems used to manage forests and describe how those systems may approximate the role ofnatural disturbance in shaping forest composition and structureEvaluate current site and forest stand conditions, collecting basic forest mensuration data including tree diameter and height, canopy coverand stand age, among othersTARGET AUDIENCE: Service biologists and resource managers who are engaged with forest ecology, conservation and management issues",Habitat Assessment Restoration and Management
1,CLM2150,Building a Strong Refuge System Biological Program,"Target Audience: Highly recommended for those with refuge station biological program responsibilities or interests, especially new (<5 years) refuge station biologists. In addition, those wanting to learn about refuge biological programs may find value in this course. Summary and Objectives: The complexity of natural resource conservation on refuges continues to increase due to the necessity of incorporating both environmental and societal factors into the decision making process. To address these challenges, this course provides guidance to those involved with refuge biological programs, particularly refuge station employees new to the position. National and regional factors are discussed in a meaningful context to strengthen the sense of purpose and define the role of refuge biology. At the refuge scale, instructors identify and describe in more detail the structure and function of biological programs; the roles and responsibilities of biologists; and the key characteristics, skills, and knowledge that allow for the successful use of biological information to support refuge management.  Upon completion of this course, participants will be able to: Demonstrate what the Natural Resource Program is and how a station biological program fits into regional- and national-level programs; • Identify the basic biological information needs for refuge conservation planning and habitat management information that informs the whole • station program; Identify key elements of the Refuge Improvement Act and other major statutes, policies, and guidance documents related to biology; • Identify and understand the essential components of a decision making process; • Identify and understand the basic concepts and components of adaptive management; • Describe the National Inventory and Monitoring Resources Program; • Understand the importance of conveying messages effectively to different audiences (i.e., talking to the public; talking to other staff; and talking • to managers, researchers, statisticians, etc.); and List the critical technical skills that biologists must continually increase/cultivate during their career and major professional responsibilities for • continuing education and development.",Refuge Land Policy
2,CLM8140,Introduction to Visitor Services,"Today, visitor services professionals today are facing the challenges of an increasingly sophisticated public, increasing visitation and shrinkingbudgets, while maintaining the biological integrity of refuge resources. This course will familiarize participants with the history, regulations andpolicies that guide our work to connect the American public to the nature of the mission of the FWS. Topics covered will include: understanding thevisitor services standards, defining and determining the differences between, and use of interpretation, environmental education and outreachprograms, and an overview of emerging technologies and techniques to help participants enhance the quality of refuge visitor service programs. OBJECTIVES: Upon completion of this course, you will be able to: (cid:0) Demonstrate a working knowledge of the visitor services standards, and how to apply them to your field station’s programs and facilities (cid:0) Define and determine the mix of interpretive, environmental education and outreach programs at your field station to effectively communicatewith visitors. (cid:0) Identify emerging technologies and communications techniques applicable to Service programs. (cid:0) Identify ways to engage new and non-traditional partners in the work of the Service. TARGET AUDIENCE: Anyone involved with FWS visitor services or public use programs, including project leaders, natural resource managers, environmental educators,interpretive staff, outreach specialists, outdoor recreation planners, park rangers, and volunteers.",Visitor Services
3,CLM8244,Process of Interpretive Planning,"This 5-day workshop builds upon your experience and knowledge of interpretation to build an understanding of a basic, comprehensive, interpretive planning process. During this course, participants will learn key essentials in interpretive planning including topics such as identifying and profiling target audiences, developing a theme hierarchy, choosing media and evaluating impact. Throughout the course, participants will take part in practicums designed to put new content into practice, utilizing our host site to develop key aspects of an interpretive plan.  OBJECTIVES:  Participants will be able to participate fully in a interpretive planning process Participants will be able to identify each element in a interpretive planning process and explain why the element needs to be adddressed Participants will be able to identify who should be involved in the interpretive planningprocess  TARGET AUDIENCE:  All FWS employees who are involved in Visitor Services.",Visitor Services
4,DOI-SUPV-OLT-104,Staffing Your Organization,"A supervisor must be able to accurately assess their current and future staffing needs given the organization’s mission, goals, funding, and otherresources, and they must know how to develop a staffing plan to successfully accomplish that mission. This course will teach supervisors how toanalyze their current staffing needs, project their future staffing needs to help them more effectively use their current staff and ensure that theirrecruitment and hiring efforts bring in new employees that will help the office more effectively meet their mission requirements, and develop positiondescriptions that accurately describe position requirements.",Leadership and Supervision
5,CSP4250,Conservation Area Design using Marxan,"Target Audience: Biologists, GIS analysts and environmental planners who are responsible for landscape conservation planning. Summary and Objectives: This 4.5 day training course aims to provide an introduction in the use of Marxan and Marxan with Zones to solve spatial conservation planning problems, including the design of conservation areas. This course will also introduce the concept of landscape connectivity, its importance in reserve designs and how is addressed in Marxan.  Marxan is one of the most widely used conservation and resource use planning tool globally. It can support the design of a protected area networks in marine, terrestrial, and freshwater ecosystems. Developed by Ian Ball and Hugh Possingham from the University of Queensland, Australia, Marxan supports spatial prioritization by producing transparent and repeatable results. The software can facilitate smart decision-making that accounts for a broad range of stakeholders and trade-offs in a spatially and economically efficient manner.  Course Outline: This hands-on and participative course will include both presentations and practical exercises to provide participants with the necessary skills and knowledge to use Marxan and Marxan with Zones. Lectures will cover topics such as:  •When is Marxan and Marxan with Zones the right tools? When are they not?•What questions do these tools address in the context of systematic conservation planning?•What inputs are required? What outputs are generated and how these can be communicated?•How can Maxan and Marxan with Zones help integrate socio-economic and environmental concerns? What are the data requirementsto do so effectively?•How far can these tools go in helping difficult decisions regarding trade-offs between stakeholder groups?•What is landscape connectivity and why is it important in conservation area designs?•How landscape connectivity is considered and incorporated in systematic conservation planning?Through hands-on exercises participants will practice with: •Generating of Marxan and Marxan with Zones input files from GIS data•Setting and calibration of Marxan and Marxan with Zones parameters•Visualising Marxan and Marxan with Zones outputs in GIS•Evaluating Marxan and Marxan with Zones solutions and scenarios•Exploring trade-off analysis•Incorporating connectivity data into Marxan analysisUpon completion of this course, participants will be able to: •Use Marxan to solve spatial conservation planning problems. Pre-requisite: A working knowledge of GIS software tools, either ArcGIS or QGIS.",Statistics and Modeling
6,OUT8082,Online Mentee the Journey to Meeting Your Mentor - Online,"Having a mentor – someone who can help you navigate your career path – has the potential to make your career more fruitful, if you takeresponsibility for managing the relationship. Therefore, to be successful as a mentee, your work begins prior to the first meeting with your mentor.This self-paced course focuses on the information and skills you will need prior to meeting with your mentor for the first time. Participating in thiscourse will contribute to your success in building a strong mentoring partnership. Mentees who are already working with a mentor, or those with aninterest in this subject, may also find the tools and information helpful for establishing a solid mentoring relationship. Participants are given 90 daysto complete this online self study course.",Leadership and Supervision
7,DOI-READ-Basic-OLT-101,DOI All-Hazards Resource Advisor Basic Course,"The Department employees interested in becoming an AH-READ will need supervisor approval to deploy or to join the roster of eligible responders;therefore interested staff should get supervisor approval before taking the training. FEMA training courses IS 100, IS 200 are prerequisites for thiscourse. This course is the first in the DOI All-Hazards Resource Advisor curriculum. A wired network connection is recommended for this course. Atthe end of this course you will be able to: explain the potential roles of an All-Hazards Resource Advisor (AH-READ, READ) within the context ofthe incident; Identify the range of natural and cultural resources an All-Hazards Resource Advisor may encounter at an incident; briefly describeregulatory frameworks applicable to a particular incident type; learn how to prepare for deployment.",Safety and Emergency Response
8,CSP2304,Modeling for Endangered Species Management,"Explore the application of analytical approaches and models to the management of threatened and endangered animal populations. Emphasis will be placed on the development of modeling skills (using Excel spreadsheets), estimation of vital rates, modeling population dynamics, and the interpretation of model outcomes for managing threatened populations. The course is designed for participants to learn the concepts and techniques through presentations, exercises, and working with data sets. The aim of these exercises is to familiarize biologists with the modeling techniques frequently used in population viability analysis as well as evaluating recovery criteria and management/policy alternatives (effects of habitat improvements, impacts of augmentation, etc.)  OBJECTIVES:  Estimate critical life history parameters (growth, size at maturity, mortality) in animal populations Build age and stage-structured population models to assess population status Run simulation modeling to evaluate the efficacy of recovery methods and habitat restoration to meet objectives for rare and endangered animal populations  TARGET AUDIENCE:  Biologists who wish to use modeling for species status assessments and for evaluating management and policy alternatives for recovery.",Statistics and Modeling
9,CLM8134,Business Communications Boot Camp,"In this intensive, four-day writing and speaking workshop, you'll work hard on the most important and effective fundamental principles of work- related writing and speaking--not only in your more formal memos, e-mails, and presentations, but also in your crucial (and all too often overlooked) day-to-day interchanges with co-workers, supervisors, and customers. Fast-paced, interactive exercises will help you clarify your purpose and identify the most important points in your message before you start writing (or speaking), organize your points in a logical structure that will clearly communicate your message, draft a concise effective opening and closing, edit for content and conform to standard style practices, and adapt these skills for casual everyday business communication.  OBJECTIVES:  In this course, you will learn how to: Identify your purpose and your readers/listeners. Collect essential information needed to communicate your message. Produce, in a relatively short time, a working draft that matches your message and audience/readers. Revise the draft for conciseness, effectiveness, and standard usage. Develop a 'grabber' opening and a 'conclusive' conclusion. Present your message to other participants in a concise, effective, well-organized talk and to the instructor in a written, near-final draft.  TARGET AUDIENCE:  Anyone who wants to improve their work-related writing and speaking skills.",Communications
