Competency Title,Notation,Competency Definition,,,,
Accessibility,,"Knowledge of tools, equipment, and technologies used to help individuals with disabilities use computer equipment and software.",,,,
Accident Investigation,,"Knowledge of guidelines, regulations, and procedures associated with an accident investigation including preservation of accident scene, root cause analysis, and evidence detection and handling.",,,,
Accountability,,"Holds self and others accountable for measurable high-quality, timely, and cost-effective results. Determines objectives, sets priorities, and delegates work. Accepts responsibility for mistakes. Complies with established control systems and rules.",,,,
Accounting,,"Knowledge of traditional accounting practices including accrual, obligations, and costs methods.",,,,
Accounting Operations,,"Knowledge of general ledger accounting and the control/subsidiary account relationships and reconciliation techniques, including accounts receivable, accounts payable, and disbursing officer's accountability.",,,,
Acquisition Strategy,,"Knowledge of the principles and methods for developing an integrated acquisition management plan that describes the business, technical, and support strategies, including the relationship between the acquisition phases, work efforts, and key program events (for example, decision points, contract awards, test activities).",,,,
Administration and Management,,"Knowledge of planning, coordination, and execution of business functions, resource allocation, and production.",,,,
Administrative Law,,"Knowledge of state and Federal administrative laws, including procedures, regulations, guidelines, and precedents related to case preparation and settlements.",,,,
Aerospace Engineering,,"Knowledge of the concepts, principles, and theories of aerodynamics or space environments related to the design, development, testing, analysis, application, and utilization of aerospace and aeronautical devices, vehicles, systems, and equipment.",,,,
Agility,,"Bends, stretches, twists, or reaches out with the body, arms, or legs.",,,,
Aircraft Maintenance,,"Knowledge of aircraft engines, parts, and systems, including their designs, uses, repair, and maintenance.",,,,
Ammunition and Explosives,,"Knowledge of ammunition and explosives and their uses, interactions, dangers, production, handling, storage, and disposal.",,,,
Animal Husbandry,,"Knowledge of the care and handling of animals, including feeding, controlling, restraint, health, and reproduction.",,,,
Applies Technology to Tasks,,"Selects and understands procedures, machines, or tools that will produce the desired results; identifies or solves problems in machines, computers, or other technologies as they are related to performing tasks.",,,,
Architecture,,"Knowledge of the concepts, principles, theories, and practices used in the planning, design, construction, and maintenance of buildings or other structures, taking into consideration aesthetic and functional concerns.",,,,
Arithmetic,,"Performs computations such as addition, subtraction, multiplication, and division correctly using whole numbers, fractions, decimals, and percentages.",,,,
Arithmetic/Mathematical Reasoning,,"Performs computations such as addition, subtraction, multiplication, and division correctly; solves practical problems by choosing appropriately from a variety of mathematical techniques such as formulas and percentages.""",,,,
Arrest,,"Knowledge of the laws, principles, and procedures used in apprehending a criminal suspect, including polices for pursuit and proper use of force and capture such as Miranda rights.",,,,
Artificial Intelligence,,"Knowledge of the principles, methods, and tools used to design systems that perform human intelligence functions.",,,,
Astronomy,,"Knowledge of the concepts, principles, and theories of the physical processes leading to the emission of electromagnetic radiation or particles from celestial bodies, the measurement and physical characteristics of celestial bodies, including cosmic microwave background, submillimeter technology, galaxies, star formations, and planetary science.",,,,
Attention to Detail,,Is thorough when performing work and conscientious about attending to detail.,,,,
Audit Reporting,,"Knowledge of the principles, practices, and techniques used to report audit findings (criteria, condition, cause, effect, and recommendation).",,,,
